flight_id,operator_id,aircraft_id,display_number,origin,destination,scheduled_out_utc,scheduled_in_utc,estimated_landing_utc,estimated_inblock_utc,other_turnaround_ready_utc,dispatch_buffer_minutes,passengers,crew_ready,slot_confirmed,status,source_basis,data_class
F-08-4-B,SIM-AIR,AC-008,SIM084B,FCO,DXB,2026-09-18T11:15:00Z,2026-09-18T17:15:00Z,2026-09-18T17:05:00Z,2026-09-18T17:15:00Z,2026-09-18T10:55:00Z,20,280,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-5-A,SIM-AIR,AC-008,SIM085A,DXB,FCO,2026-09-19T03:00:00Z,2026-09-19T09:00:00Z,2026-09-19T08:50:00Z,2026-09-19T09:00:00Z,2026-09-19T02:40:00Z,20,264,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-5-B,SIM-AIR,AC-008,SIM085B,FCO,DXB,2026-09-19T11:15:00Z,2026-09-19T17:15:00Z,2026-09-19T17:05:00Z,2026-09-19T17:15:00Z,2026-09-19T10:55:00Z,20,261,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-6-A,SIM-AIR,AC-008,SIM086A,DXB,FCO,2026-09-20T03:00:00Z,2026-09-20T09:00:00Z,2026-09-20T08:50:00Z,2026-09-20T09:00:00Z,2026-09-20T02:40:00Z,20,229,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-08-6-B,SIM-AIR,AC-008,SIM086B,FCO,DXB,2026-09-20T11:15:00Z,2026-09-20T17:15:00Z,2026-09-20T17:05:00Z,2026-09-20T17:15:00Z,2026-09-20T10:55:00Z,20,287,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-0-A,SIM-AIR,AC-009,SIM090A,DXB,FRA,2026-09-14T00:00:00Z,2026-09-14T06:00:00Z,2026-09-14T05:50:00Z,2026-09-14T06:00:00Z,2026-09-13T23:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-0-B,SIM-AIR,AC-009,SIM090B,FRA,DXB,2026-09-14T08:15:00Z,2026-09-14T14:15:00Z,2026-09-14T14:05:00Z,2026-09-14T14:15:00Z,2026-09-14T07:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-1-A,SIM-AIR,AC-009,SIM091A,DXB,BRU,2026-09-15T04:00:00Z,2026-09-15T10:00:00Z,2026-09-15T09:50:00Z,2026-09-15T10:00:00Z,2026-09-15T03:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-1-B,SIM-AIR,AC-009,SIM091B,BRU,DXB,2026-09-15T12:15:00Z,2026-09-15T18:15:00Z,2026-09-15T18:05:00Z,2026-09-15T18:15:00Z,2026-09-15T11:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-2-A,SIM-AIR,AC-009,SIM092A,DXB,BRU,2026-09-16T04:00:00Z,2026-09-16T10:00:00Z,2026-09-16T09:50:00Z,2026-09-16T10:00:00Z,2026-09-16T03:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-2-B,SIM-AIR,AC-009,SIM092B,BRU,DXB,2026-09-16T12:15:00Z,2026-09-16T18:15:00Z,2026-09-16T18:05:00Z,2026-09-16T18:15:00Z,2026-09-16T11:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-3-A,SIM-AIR,AC-009,SIM093A,DXB,BRU,2026-09-17T04:00:00Z,2026-09-17T10:00:00Z,2026-09-17T09:50:00Z,2026-09-17T10:00:00Z,2026-09-17T03:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-3-B,SIM-AIR,AC-009,SIM093B,BRU,DXB,2026-09-17T12:15:00Z,2026-09-17T18:15:00Z,2026-09-17T18:05:00Z,2026-09-17T18:15:00Z,2026-09-17T11:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-4-A,SIM-AIR,AC-009,SIM094A,DXB,BRU,2026-09-18T04:00:00Z,2026-09-18T10:00:00Z,2026-09-18T09:50:00Z,2026-09-18T10:00:00Z,2026-09-18T03:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-4-B,SIM-AIR,AC-009,SIM094B,BRU,DXB,2026-09-18T12:15:00Z,2026-09-18T18:15:00Z,2026-09-18T18:05:00Z,2026-09-18T18:15:00Z,2026-09-18T11:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-5-A,SIM-AIR,AC-009,SIM095A,DXB,BRU,2026-09-19T04:00:00Z,2026-09-19T10:00:00Z,2026-09-19T09:50:00Z,2026-09-19T10:00:00Z,2026-09-19T03:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-5-B,SIM-AIR,AC-009,SIM095B,BRU,DXB,2026-09-19T12:15:00Z,2026-09-19T18:15:00Z,2026-09-19T18:05:00Z,2026-09-19T18:15:00Z,2026-09-19T11:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-6-A,SIM-AIR,AC-009,SIM096A,DXB,BRU,2026-09-20T04:00:00Z,2026-09-20T10:00:00Z,2026-09-20T09:50:00Z,2026-09-20T10:00:00Z,2026-09-20T03:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-09-6-B,SIM-AIR,AC-009,SIM096B,BRU,DXB,2026-09-20T12:15:00Z,2026-09-20T18:15:00Z,2026-09-20T18:05:00Z,2026-09-20T18:15:00Z,2026-09-20T11:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-0-A,SIM-AIR,AC-010,SIM100A,DXB,ZRH,2026-09-14T00:00:00Z,2026-09-14T06:00:00Z,2026-09-14T05:50:00Z,2026-09-14T06:00:00Z,2026-09-13T23:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-0-B,SIM-AIR,AC-010,SIM100B,ZRH,DXB,2026-09-14T08:15:00Z,2026-09-14T14:15:00Z,2026-09-14T14:05:00Z,2026-09-14T14:15:00Z,2026-09-14T07:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-1-A,SIM-AIR,AC-010,SIM101A,DXB,ZRH,2026-09-15T00:00:00Z,2026-09-15T06:00:00Z,2026-09-15T05:50:00Z,2026-09-15T06:00:00Z,2026-09-14T23:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-1-B,SIM-AIR,AC-010,SIM101B,ZRH,DXB,2026-09-15T08:15:00Z,2026-09-15T14:15:00Z,2026-09-15T14:05:00Z,2026-09-15T14:15:00Z,2026-09-15T07:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-2-A,SIM-AIR,AC-010,SIM102A,DXB,ZRH,2026-09-16T00:00:00Z,2026-09-16T06:00:00Z,2026-09-16T05:50:00Z,2026-09-16T06:00:00Z,2026-09-15T23:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-2-B,SIM-AIR,AC-010,SIM102B,ZRH,DXB,2026-09-16T08:15:00Z,2026-09-16T14:15:00Z,2026-09-16T14:05:00Z,2026-09-16T14:15:00Z,2026-09-16T07:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-3-A,SIM-AIR,AC-010,SIM103A,DXB,ZRH,2026-09-17T00:00:00Z,2026-09-17T06:00:00Z,2026-09-17T05:50:00Z,2026-09-17T06:00:00Z,2026-09-16T23:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-3-B,SIM-AIR,AC-010,SIM103B,ZRH,DXB,2026-09-17T08:15:00Z,2026-09-17T14:15:00Z,2026-09-17T14:05:00Z,2026-09-17T14:15:00Z,2026-09-17T07:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-4-A,SIM-AIR,AC-010,SIM104A,DXB,ZRH,2026-09-18T00:00:00Z,2026-09-18T06:00:00Z,2026-09-18T05:50:00Z,2026-09-18T06:00:00Z,2026-09-17T23:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-4-B,SIM-AIR,AC-010,SIM104B,ZRH,DXB,2026-09-18T08:15:00Z,2026-09-18T14:15:00Z,2026-09-18T14:05:00Z,2026-09-18T14:15:00Z,2026-09-18T07:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-5-A,SIM-AIR,AC-010,SIM105A,DXB,ZRH,2026-09-19T00:00:00Z,2026-09-19T06:00:00Z,2026-09-19T05:50:00Z,2026-09-19T06:00:00Z,2026-09-18T23:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-5-B,SIM-AIR,AC-010,SIM105B,ZRH,DXB,2026-09-19T08:15:00Z,2026-09-19T14:15:00Z,2026-09-19T14:05:00Z,2026-09-19T14:15:00Z,2026-09-19T07:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-6-A,SIM-AIR,AC-010,SIM106A,DXB,ZRH,2026-09-20T00:00:00Z,2026-09-20T06:00:00Z,2026-09-20T05:50:00Z,2026-09-20T06:00:00Z,2026-09-19T23:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-10-6-B,SIM-AIR,AC-010,SIM106B,ZRH,DXB,2026-09-20T08:15:00Z,2026-09-20T14:15:00Z,2026-09-20T14:05:00Z,2026-09-20T14:15:00Z,2026-09-20T07:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-0-A,SIM-AIR,AC-011,SIM110A,DXB,FRA,2026-09-14T01:00:00Z,2026-09-14T07:00:00Z,2026-09-14T06:50:00Z,2026-09-14T07:00:00Z,2026-09-14T00:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-0-B,SIM-AIR,AC-011,SIM110B,FRA,DXB,2026-09-14T09:15:00Z,2026-09-14T15:15:00Z,2026-09-14T15:05:00Z,2026-09-14T15:15:00Z,2026-09-14T08:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-1-A,SIM-AIR,AC-011,SIM111A,DXB,FRA,2026-09-15T01:00:00Z,2026-09-15T07:00:00Z,2026-09-15T06:50:00Z,2026-09-15T07:00:00Z,2026-09-15T00:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-1-B,SIM-AIR,AC-011,SIM111B,FRA,DXB,2026-09-15T09:15:00Z,2026-09-15T15:15:00Z,2026-09-15T15:05:00Z,2026-09-15T15:15:00Z,2026-09-15T08:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-2-A,SIM-AIR,AC-011,SIM112A,DXB,FRA,2026-09-16T01:00:00Z,2026-09-16T07:00:00Z,2026-09-16T06:50:00Z,2026-09-16T07:00:00Z,2026-09-16T00:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-2-B,SIM-AIR,AC-011,SIM112B,FRA,DXB,2026-09-16T09:15:00Z,2026-09-16T15:15:00Z,2026-09-16T15:05:00Z,2026-09-16T15:15:00Z,2026-09-16T08:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-3-A,SIM-AIR,AC-011,SIM113A,DXB,FRA,2026-09-17T01:00:00Z,2026-09-17T07:00:00Z,2026-09-17T06:50:00Z,2026-09-17T07:00:00Z,2026-09-17T00:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-3-B,SIM-AIR,AC-011,SIM113B,FRA,DXB,2026-09-17T09:15:00Z,2026-09-17T15:15:00Z,2026-09-17T15:05:00Z,2026-09-17T15:15:00Z,2026-09-17T08:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-4-A,SIM-AIR,AC-011,SIM114A,DXB,FRA,2026-09-18T01:00:00Z,2026-09-18T07:00:00Z,2026-09-18T06:50:00Z,2026-09-18T07:00:00Z,2026-09-18T00:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-4-B,SIM-AIR,AC-011,SIM114B,FRA,DXB,2026-09-18T09:15:00Z,2026-09-18T15:15:00Z,2026-09-18T15:05:00Z,2026-09-18T15:15:00Z,2026-09-18T08:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-5-A,SIM-AIR,AC-011,SIM115A,DXB,FRA,2026-09-19T01:00:00Z,2026-09-19T07:00:00Z,2026-09-19T06:50:00Z,2026-09-19T07:00:00Z,2026-09-19T00:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-5-B,SIM-AIR,AC-011,SIM115B,FRA,DXB,2026-09-19T09:15:00Z,2026-09-19T15:15:00Z,2026-09-19T15:05:00Z,2026-09-19T15:15:00Z,2026-09-19T08:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-6-A,SIM-AIR,AC-011,SIM116A,DXB,FRA,2026-09-20T01:00:00Z,2026-09-20T07:00:00Z,2026-09-20T06:50:00Z,2026-09-20T07:00:00Z,2026-09-20T00:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-11-6-B,SIM-AIR,AC-011,SIM116B,FRA,DXB,2026-09-20T09:15:00Z,2026-09-20T15:15:00Z,2026-09-20T15:05:00Z,2026-09-20T15:15:00Z,2026-09-20T08:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-0-A,OTHER-AIR,AC-012,SIM120A,DOH,AMS,2026-09-14T02:00:00Z,2026-09-14T08:00:00Z,2026-09-14T07:50:00Z,2026-09-14T08:00:00Z,2026-09-14T01:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-0-B,OTHER-AIR,AC-012,SIM120B,AMS,DOH,2026-09-14T10:15:00Z,2026-09-14T16:15:00Z,2026-09-14T16:05:00Z,2026-09-14T16:15:00Z,2026-09-14T09:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-1-A,OTHER-AIR,AC-012,SIM121A,DOH,AMS,2026-09-15T02:00:00Z,2026-09-15T08:00:00Z,2026-09-15T07:50:00Z,2026-09-15T08:00:00Z,2026-09-15T01:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-1-B,OTHER-AIR,AC-012,SIM121B,AMS,DOH,2026-09-15T10:15:00Z,2026-09-15T16:15:00Z,2026-09-15T16:05:00Z,2026-09-15T16:15:00Z,2026-09-15T09:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-2-A,OTHER-AIR,AC-012,SIM122A,DOH,AMS,2026-09-16T02:00:00Z,2026-09-16T08:00:00Z,2026-09-16T07:50:00Z,2026-09-16T08:00:00Z,2026-09-16T01:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-2-B,OTHER-AIR,AC-012,SIM122B,AMS,DOH,2026-09-16T10:15:00Z,2026-09-16T16:15:00Z,2026-09-16T16:05:00Z,2026-09-16T16:15:00Z,2026-09-16T09:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-3-A,OTHER-AIR,AC-012,SIM123A,DOH,AMS,2026-09-17T02:00:00Z,2026-09-17T08:00:00Z,2026-09-17T07:50:00Z,2026-09-17T08:00:00Z,2026-09-17T01:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-3-B,OTHER-AIR,AC-012,SIM123B,AMS,DOH,2026-09-17T10:15:00Z,2026-09-17T16:15:00Z,2026-09-17T16:05:00Z,2026-09-17T16:15:00Z,2026-09-17T09:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-4-A,OTHER-AIR,AC-012,SIM124A,DOH,AMS,2026-09-18T02:00:00Z,2026-09-18T08:00:00Z,2026-09-18T07:50:00Z,2026-09-18T08:00:00Z,2026-09-18T01:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-4-B,OTHER-AIR,AC-012,SIM124B,AMS,DOH,2026-09-18T10:15:00Z,2026-09-18T16:15:00Z,2026-09-18T16:05:00Z,2026-09-18T16:15:00Z,2026-09-18T09:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-5-A,OTHER-AIR,AC-012,SIM125A,DOH,AMS,2026-09-19T02:00:00Z,2026-09-19T08:00:00Z,2026-09-19T07:50:00Z,2026-09-19T08:00:00Z,2026-09-19T01:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-5-B,OTHER-AIR,AC-012,SIM125B,AMS,DOH,2026-09-19T10:15:00Z,2026-09-19T16:15:00Z,2026-09-19T16:05:00Z,2026-09-19T16:15:00Z,2026-09-19T09:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-6-A,OTHER-AIR,AC-012,SIM126A,DOH,AMS,2026-09-20T02:00:00Z,2026-09-20T08:00:00Z,2026-09-20T07:50:00Z,2026-09-20T08:00:00Z,2026-09-20T01:40:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-12-6-B,OTHER-AIR,AC-012,SIM126B,AMS,DOH,2026-09-20T10:15:00Z,2026-09-20T16:15:00Z,2026-09-20T16:05:00Z,2026-09-20T16:15:00Z,2026-09-20T09:55:00Z,20,155,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
